query,src,vol,traf
ไทวัสดุ,🅰️,213000,176442
037,🅰️,145000,7998
วอลเปเปอร์,🅰️,86000,849
เครื่องฟอกอากาศ,🅰️,84000,1104
เครื่องซักผ้า,🅰️,61000,5216
ตู้เย็น,🅰️,60000,4118
สีดำ,🅰️,54000,2587
ปลั๊กไฟ,🅰️,40000,3935
เบรกเกอร์,🅰️,40000,2985
หลอดไฟ led,🅰️,33000,1947
โซล่าเซลล์,🅰️,31000,7298
บันได,🅰️,31000,3376
ถังขยะ,🅰️,31000,2910
ไทวัสดุใกล้ฉัน,🅰️,30000,31628
เครื่องดูดฝุ่น,🅰️,29000,3365
แอร์,🅰️,27000,2107
หลอดไฟ,🅰️,25000,1531
ไฟ,🅰️,25000,1089
ฟิวเจอร์บอร์ด,🅰️,24000,9861
ท่อ pvc,🅰️,24000,8614
โคมไฟ,🅰️,24000,3579
เหล็กกล่อง,🅰️,24000,3566
เมทัลชีท,🅰️,24000,2825
ซิงค์ล้างจาน,🅰️,23000,7263
เตาแก๊ส,🅰️,22000,4956
กระเบื้องปูพื้น,🅰️,22000,2762
พัดลมดูดอากาศ,🅰️,21000,5883
ประตูบานเลื่อน,🅰️,21000,3438
สวิตช์ไฟ,🅰️,21000,1593
โซฟา,🅰️,21000,1028
เครื่องตัดหญ้า,🅰️,20000,4743
แผงโซล่าเซลล์,🅰️,20000,3479
สวิตซ์,🅰️,20000,2099
ไฟโซล่าเซลล์,🅰️,19000,5460
ตลับเมตร,🅰️,19000,602
ตู้คอนซูมเมอร์,🅰️,18000,11696
สว่านไร้สาย,🅰️,18000,8181
สกรู,🅰️,18000,4765
สายไฟ,🅰️,18000,4060
กระเบื้องยาง,🅰️,18000,3784
ตะแกรงเหล็ก,🅰️,18000,2768
อะคริลิค,🅰️,18000,1526
ชักโครก,🅰️,18000,1177
ประแจ,🅰️,18000,1090
เครื่องกรองน้ำ,🅰️,18000,828
หลังคาเมทัลชีท,🅰️,17000,6120
ร้านวัสดุก่อสร้างใกล้ฉัน,🅰️,17000,2510
ถังดับเพลิง,🅰️,17000,2197
อ่างล้างหน้า,🅰️,17000,1634
ไขควง,🅰️,17000,960
thaiwatsadu,🅰️,16000,15147
ไทยวัสดุ,🅰️,16000,11331
ปั๊มน้ำ,🅰️,16000,2315
อิฐบล็อก,🅰️,16000,1647
กระจก,🅰️,16000,1413
แผ่นอะคริลิค,🅰️,16000,793
สแตนเลส,🅰️,16000,460
สมาร์ทบอร์ด,🅰️,15000,9705
แผ่นสมาร์ทบอร์ด,🅰️,15000,9311
solar cell,🅰️,15000,3895
รองเท้าเซฟตี้,🅰️,15000,3489
หน้าต่างบานเลื่อน,🅰️,15000,2725
หม้ออบลมร้อน,🅰️,15000,2070
เครื่องมือช่าง,🅰️,15000,1992
เหล็กฉาก,🅰️,15000,1678
รถเข็น,🅰️,15000,1134
กระเบื้อง,🅰️,15000,1011
อิฐมวลเบา,🅰️,14000,4772
โคมไฟเพดาน,🅰️,14000,3567
ไม้ถูพื้น,🅰️,14000,2275
ประตู,🅰️,14000,1963
ผ้าม่าน,🅰️,14000,1040
เครื่องใช้ไฟฟ้า,🅰️,14000,940
แผ่นยิปซั่ม,🅰️,13000,5897
ระแนงไม้เทียม,🅰️,13000,5276
ไทวัสดุ ใกล้ฉัน,🅰️,13000,4799
ฝ้าเพดาน,🅰️,13000,3218
ร้านเฟอร์นิเจอร์ใกล้ฉัน,🅰️,13000,1954
เครื่องปรับอากาศ,🅰️,13000,1367
ราวตากผ้า,🅰️,13000,982
ซิลิโคน,🅰️,13000,709
เคาน์เตอร์ครัว,🅰️,13000,632
กระถางต้นไม้,🅰️,13000,480
ลูกบิดประตู,🅰️,12000,3612
กาวตะปู,🅰️,12000,3406
ทินเนอร์,🅰️,12000,2635
กลอนประตู,🅰️,12000,2139
มิเตอร์ไฟฟ้า,🅰️,12000,1964
สปอร์ตไลท์,🅰️,12000,1223
สว่าน,🅰️,12000,997
เครื่องฟอกอากาศ sharp,🅰️,12000,659
พัดลม hatari,🅰️,12000,476
สีทอง,🅰️,12000,437
ตู้แช่แข็ง,🅰️,11000,6074
บันไดอลูมิเนียม,🅰️,11000,5773
ราคาเหล็กกล่อง,🅰️,11000,2967
นั่งร้าน,🅰️,11000,2831
สว่านไฟฟ้า,🅰️,11000,2097
ไม้อัด,🅰️,11000,1891
ประตูห้องน้ำ,🅰️,11000,1685
สปริงเกอร์,🅰️,11000,1558
ปั้มน้ำ,🅰️,11000,1450
ปลั๊กพ่วง,🅰️,11000,1287
ค้อน,🅰️,11000,1031
จารบี,🅰️,11000,561
ขนาดกล่องพัสดุ,🅰️,11000,432
เครื่องทำน้ำอุ่น,🅰️,10000,2950
ฉนวนกันความร้อน,🅰️,10000,2747
เก้าอี้พลาสติก,🅰️,10000,2241
เครื่องทําน้ําอุ่น,🅰️,10000,2136
ถังน้ำ,🅰️,10000,1532
หินเจียร,🅰️,10000,1394
รั้วบ้าน,🅰️,10000,1111
แก๊สกระป๋อง,🅰️,10000,1064
เหล็ก,🅰️,10000,919
ปูนซีเมนต์,🅰️,10000,918
กล่องพัสดุ,🅰️,10000,731
ถุงมือยาง,🅰️,10000,660
หมวกกันน็อคเต็มใบ,🅰️,10000,594
สายแลน,🅰️,10000,577
ผงซักฟอก,🅰️,10000,457
สังกะสี,🅰️,9800,2339
เวอร์เนียร์,🅰️,9700,466
กันสาด,🅰️,9600,1533
เหล็กกล่อง 1x1 ราคา,🅰️,9600,688
บล็อกไฟฟ้า,🅰️,9600,583
พัดลมติดผนัง,🅰️,9500,3404
ตาข่ายเหล็ก,🅰️,9500,2027
เลื่อยไฟฟ้า,🅰️,9400,814
เครื่องปั่นไฟ,🅰️,9300,3982
กาว,🅰️,9300,904
สีทาบ้าน,🅰️,9200,3834
เลื่อยวงเดือน,🅰️,9200,2177
ล้อรถเข็น,🅰️,9200,2084
ตะแกรงเหล็กฉีก,🅰️,9100,2247
ถ่าน,🅰️,9100,811
เหล็กกัลวาไนซ์,🅰️,9100,405
บานพับประตู,🅰️,9000,4087
คีม,🅰️,9000,2063
ตาข่ายพลาสติก,🅰️,9000,1879
ประแจเลื่อน,🅰️,9000,1642
สายไฟ thw,🅰️,8900,1332
อุปกรณ์ไฟฟ้า,🅰️,8900,1278
ไม้กวาด,🅰️,8900,806
ตาข่ายกันนก,🅰️,8900,431
แอร์เคลื่อนที่,🅰️,8800,3926
กะละมัง,🅰️,8800,716
สแลนกันแดด,🅰️,8700,5768
หญ้าเทียม,🅰️,8700,3419
ไม้ระแนง,🅰️,8700,2110
มู่ลี่,🅰️,8700,1131
เก้าอี้แคมป์ปิ้ง,🅰️,8700,816
กระจกเงา,🅰️,8700,783
สะดืออ่างล้างหน้า,🅰️,8600,1956
สายพาน,🅰️,8600,1056
ไม้กวาดดอกหญ้า,🅰️,8500,4357
ลวดเชื่อม,🅰️,8500,1549
ประตูบ้าน,🅰️,8500,1201
สีสเปรย์,🅰️,8400,999
ถ่านไฟฉาย,🅰️,8400,388
เลื่อยลันดา,🅰️,8300,3323
แผ่นเมทัลชีท,🅰️,8300,2386
รถเข็นพับได้,🅰️,8300,1076
เลื่อย,🅰️,8300,546
คิ้วกระเบื้อง,🅰️,8200,5754
พุกเหล็ก,🅰️,8200,1292
ไฟสปอร์ตไลท์,🅰️,8200,1158
โต๊ะทํางาน,🅰️,8200,503
เทปกาว,🅰️,8000,2228
หลังคา,🅰️,8000,1391
หน้าต่าง,🅰️,8000,692
เบาะรองนั่ง,🅰️,7900,392
กระเบื้องลายไม้,🅰️,7800,1261
พัดลมระบายอากาศ,🅰️,7800,1163
กระเบื้องห้องน้ำ,🅰️,7800,1018
เซอร์กิตเบรกเกอร์,🅰️,7800,757
พลาสวูด,🅰️,7600,5723
เทปพันเกลียว,🅰️,7500,3128
ตู้เซฟ,🅰️,7500,1419
อลูมิเนียมลายไม้,🅰️,7300,4710
พัดลมเพดาน,🅰️,7300,969
ชั้นวางทีวี,🅰️,7300,760
ถังดักไขมัน,🅰️,7100,1943
โต๊ะคอมพิวเตอร์,🅰️,7100,1001
พัดลมอุตสาหกรรม,🅰️,7000,1581
ราวแขวนผ้า,🅰️,7000,972
ข้อต่อ pvc,🅰️,7000,899
มุ้งลวด,🅰️,6900,2481
วงกบประตู,🅰️,6900,1338
ไฟดาวน์ไลท์,🅰️,6900,1255
ตู้แช่,🅰️,6900,993
เชือก,🅰️,6900,772
โคมไฟโซล่าเซลล์,🅰️,6800,1538
เตาแก๊สปิคนิค,🅰️,6800,483
ไม้,🅰️,6800,447
ประตู upvc,🅰️,6700,2224
กระเบื้องหลังคา,🅰️,6700,1316
โถส้วม,🅰️,6700,1147
สายยาง,🅰️,6700,1042
ตะแกรง,🅰️,6700,664
แผ่นอะคริลิคใส,🅰️,6600,6037
ตู้กับข้าว,🅰️,6600,1673
ปูนขาว,🅰️,6600,1661
แปรงทาสี,🅰️,6600,1183
ประตูรั้วหน้าบ้าน,🅰️,6600,866
หัวสปริงเกอร์,🅰️,6500,1818
เก้าอี้สำนักงาน,🅰️,6500,1319
ยิปซั่ม,🅰️,6500,1174
เชือกไนล่อน,🅰️,6500,1155
สีทาไม้,🅰️,6500,1042
ผนังเบา,🅰️,6300,1560
ประตูไม้,🅰️,6300,1368
เทปพันสายไฟ,🅰️,6300,1133
กาวยาง,🅰️,6300,1107
พรมปูพื้น,🅰️,6300,1075
ตะปู,🅰️,6300,607
ท่อ pe,🅰️,6200,1209
ฝ้า,🅰️,6200,498
ดอกสว่านเจาะปูน,🅰️,6100,3982
เครื่องดูดควัน,🅰️,6100,737
แผ่นพลาสวูด,🅰️,6000,5369
ซีลาย,🅰️,6000,3683
เครื่องเป่าลม,🅰️,6000,1825
ตาข่าย,🅰️,6000,983
แผ่นเพลท,🅰️,6000,530
ไวร์เมช,🅰️,5900,2918
สีน้ำมัน,🅰️,5800,1130
ปั๊มลม,🅰️,5800,1076
เก้าอี้สํานักงาน,🅰️,5800,468
หน้าต่างอลูมิเนียม,🅰️,5700,1337
เครื่องขัดกระดาษทราย,🅰️,5700,1063
ประตูอลูมิเนียม,🅰️,5700,614
แผ่นโพลีคาร์บอเนต,🅰️,5600,1905
อ่างล้างจาน,🅰️,5600,1183
บานพับ,🅰️,5600,759
คอนกรีต,🅰️,5600,537
กระติกเก็บความเย็น,🅰️,5600,444
ปูนกาว,🅰️,5500,3878
ประตูห้องนอน,🅰️,5500,1426
วัสดุก่อสร้าง,🅰️,5500,465
หน้าต่างบานเลื่อน 2 บาน ราคา,🅰️,5400,2225
โต๊ะพับอเนกประสงค์,🅰️,5400,2048
เบรกเกอร์กันดูด,🅰️,5400,1273
อีพ็อกซี่,🅰️,5400,1031
กระเบื้องลายหินอ่อน,🅰️,5400,447
ชักโครก cotto,🅰️,5400,435
หลอดไฟกลม,🅰️,5300,1077
สตาร์ทเตอร์,🅰️,5300,557
ประแจปอนด์,🅰️,5300,465
สายแลน cat6,🅰️,5200,2905
ปั้มน้ําอัตโน มัติ,🅰️,5200,1893
ร้านขายอุปกรณ์ไฟฟ้าใกล้ฉัน,🅰️,5200,1888
ราคาเมทัลชีท,🅰️,5200,1189
เครื่องชั่งดิจิตอล,🅰️,5100,2537
หลอดไฟ led แบบยาว,🅰️,5100,1836
ลูกลอยไฟฟ้า,🅰️,5100,1301
ตู้เชื่อม,🅰️,5100,1014
เหล็กกล่อง 4x2 ราคา,🅰️,5100,548
ไทวัสดุเปิดกี่โมง,🅰️,5000,2905
อิฐมอญ,🅰️,5000,2379
ไม้เทียม,🅰️,5000,843
โฟม,🅰️,4900,999
ลูกเหม็น,🅰️,4900,540
กล่องไปรษณีย์,🅰️,4900,517
ลวด,🅰️,4900,488
จมูกบันได,🅰️,4900,451
รถจักรยาน,🅰️,4900,407
เก้าอี้บาร์,🅰️,4900,391
ราคาอิฐมวลเบา,🅰️,4800,4931
กระดาษทราย,🅰️,4800,1674
ดอกสว่าน,🅰️,4800,1066
เลื่อยตัดเหล็ก,🅰️,4800,905
เสื้อกันฝน,🅰️,4800,612
มลพิษทางเสียง,🅰️,4800,3
ใบตัดเหล็ก 4 นิ้ว,🅰️,4700,1454
ประตูเหล็ก,🅰️,4700,1305
บ่อดักไขมัน,🅰️,4700,1072
พาเลทพลาสติก,🅰️,4700,861
อิฐ,🅰️,4700,492
สะดืออ่างล้างจาน,🅰️,4600,2036
โซลาร์เซลล์,🅰️,4600,1295
กาวอีพ็อกซี่,🅰️,4600,890
กระดาษลูกฟูก,🅰️,4600,481
ฝาชักโครก,🅰️,4600,474
เสื้อสะท้อนแสง,🅰️,4600,452
ราคาอิฐบล็อก,🅰️,4500,2901
หลอดไฟ led แบบกลม,🅰️,4500,1581
ร้านผ้าม่านใกล้ฉัน,🅰️,4500,1527
เหล็กดัดหน้าต่าง,🅰️,4500,1300
เหล็กแผ่น,🅰️,4500,533
ร้านเครื่องใช้ไฟฟ้าใกล้ฉัน,🅰️,4500,527
สว่านโรตารี่,🅰️,4500,449
ตู้เชื่อมไฟฟ้า,🅰️,4400,1395
ปูนฉาบสําเร็จ,🅰️,4400,1284
แผ่นอลูมิเนียม,🅰️,4400,1222
ท่อ hdpe,🅰️,4400,748
วัสดุก่อสร้างใกล้ฉัน,🅰️,4400,672
อิฐบล็อกราคา,🅰️,4300,2215
สีทาภายใน,🅰️,4300,2149
ถังแซท,🅰️,4300,1792
ใบตัดเหล็ก,🅰️,4300,868
อิฐแดง,🅰️,4300,702
ปั๊มน้ํา,🅰️,4300,556
โถปัสสาวะชาย,🅰️,4300,473
แอร์ tcl,🅰️,4300,386
สายฉีดชําระ,🅰️,4200,1561
กระเบื้องยาง spc,🅰️,4200,1523
สีย้อมไม้,🅰️,4200,1491
เครื่องสูบน้ำ,🅰️,4200,1288
ถังน้ํา 1000 ลิตร,🅰️,4200,1227
ลูกกลิ้งทาสี,🅰️,4200,837
เครื่องฉีดน้ําแรงดันสูง,🅰️,4200,606
สกรูปลายสว่าน,🅰️,4100,3876
ไม้เฌอร่า,🅰️,4100,2854
ไฟฉุกเฉิน,🅰️,4100,1690
เหล็กเส้น,🅰️,4100,1523
หลอดไฟ led ยาว,🅰️,4100,1289
ปั๊มหอยโข่ง,🅰️,4100,1104
ยาแนวกระเบื้อง,🅰️,4100,1079
แผ่นปูพื้น,🅰️,4100,1052
อิฐประสาน,🅰️,4100,743
รั้วทางด่วน,🅰️,4100,603
ปลั๊กกราวด์คู่,🅰️,4100,421
เหล็กฉีก,🅰️,4000,1537
ยางมะตอยถุง,🅰️,4000,1308
ร้านขายวัสดุก่อสร้างใกล้ฉัน,🅰️,4000,621
น้ำกลั่น,🅰️,4000,567
ประตูกระจกบานเลื่อน,🅰️,3900,3442
ราคาท่อ pvc,🅰️,3900,3406
กระเบื้องลอนคู่,🅰️,3900,1350
ถังเก็บน้ำ,🅰️,3900,1302
ชั้นวางของเหล็ก,🅰️,3900,976
ตู้กดน้ำ,🅰️,3900,795
กระเบื้องยางลายไม้,🅰️,3900,738
ยางมะตอย,🅰️,3900,588
ไทวัสดุ นวมินทร์,🅰️,3800,2281
พุกผีเสื้อ,🅰️,3800,2213
ตู้เซฟนิรภัย,🅰️,3800,2093
ติดโซล่าเซลล์,🅰️,3800,1227
รั้วตาข่าย,🅰️,3800,1108
สีทาบ้านภายนอก,🅰️,3800,714
เหล็กกล่อง 4x4 ราคา,🅰️,3800,683
เครื่องฉีดน้ำแรงดันสูง,🅰️,3700,1185
ก๊อกอ่างล้างหน้า,🅰️,3700,853
สายไฟ 2.5,🅰️,3700,775
เชิงชาย,🅰️,3700,626
มุ้ง,🅰️,3700,605
ท่อตัน,🅰️,3700,536
สลิง,🅰️,3700,495
ลวดเชื่อมสแตนเลส,🅰️,3600,2617
ซีเมนต์บอร์ด,🅰️,3600,2386
ร้านอุปกรณ์ไฟฟ้าใกล้ฉัน,🅰️,3600,1374
สีกันสนิม,🅰️,3600,1352
เสื่อน้ำมัน,🅰️,3600,1315
กระดาษชานอ้อย,🅰️,3600,1198
สีทาบ้านภายใน,🅰️,3600,995
บัวพื้น,🅰️,3600,849
ประตูเลื่อน,🅰️,3600,622
รางน้ำฝน,🅰️,3600,584
ตู้เสื้อผ้าบานเลื่อน,🅰️,3600,551
รถเข็นของ,🅰️,3600,452
ราคากระเบื้องปูพื้น 60x60 กล่องละ ไทวัสดุ,🅰️,3500,3237
อิฐมวลเบาราคา,🅰️,3500,1740
กระติกน้ำแข็ง,🅰️,3500,1432
ชะแลง,🅰️,3500,1205
อ่างล้างมือ,🅰️,3500,1166
กรวยจราจร,🅰️,3500,701
ราวบันได,🅰️,3500,659
เหล็กกล่อง 2x1 ราคา,🅰️,3500,558
ปั้มลม,🅰️,3500,542
ตู้แช่เครื่องดื่ม,🅰️,3500,486
ขนาดอิฐบล็อก,🅰️,3500,452
สีรองพื้นปูนเก่า,🅰️,3400,1021
ตู้เหล็ก,🅰️,3400,936
ท่อร้อยสายไฟ,🅰️,3400,909
แผ่นฝ้าเพดาน,🅰️,3400,890
อะคริลิคใส,🅰️,3400,818
ตะปูคอนกรีต,🅰️,3400,773
เครื่องเจียร,🅰️,3400,520
กระเบื้องแกรนิตโต้,🅰️,3400,462
กบไสไม้,🅰️,3400,399
ประแจปากตาย,🅰️,3300,563
สีรองพื้น,🅰️,3300,438
thai watsadu,🅰️,3200,2598
ท่อพีวีซี,🅰️,3200,1918
เครื่องเป่าลมร้อน,🅰️,3200,1517
รางน้ำ,🅰️,3200,1371
บล็อกแก้ว,🅰️,3200,1137
ไม้ระแนงเทียม,🅰️,3200,1073
